Country,Code,Year,Deaths,Continent,Population,latitude,longitude,Percentage 
Afghanistan,AFG,2015,7730,Asia,33753499,33.93911,67.709953,22.90
Albania,ALB,2015,258,Europe,2882481,41.153332,20.168331,8.95
Algeria,DZA,2015,11131,Africa,39543154,28.033886,1.659626,28.15
American Samoa,ASM,2015,5,Oceania,51368,-14.270972,-170.132217,9.73
Andorra,AND,2015,8,Europe,71746,42.546245,1.601554,11.15
Angola,AGO,2015,9012,Africa,28127721,-11.202692,17.873887,32.04
Antigua and Barbuda,ATG,2015,6,North America,89941,17.060816,-61.796428,6.67
Argentina,ARG,2015,6394,South America,43257065,-38.416097,-63.616672,14.78
Armenia,ARM,2015,274,Asia,2878595,40.069099,45.038189,9.52
Australia,AUS,2015,1549,Oceania,23820236,-25.274398,133.775136,6.50
Austria,AUT,2015,495,Europe,8642421,47.516231,14.550072,5.73
Azerbaijan,AZE,2015,776,Asia,9863480,40.143105,47.576927,7.87
Bahamas,BHS,2015,56,North America,392697,25.03428,-77.39628,14.26
Bahrain,BHR,2015,181,Asia,1362142,25.930414,50.637772,13.29
Bangladesh,BGD,2015,8469,Asia,157830000,23.684994,90.356331,5.37
Barbados,BRB,2015,29,North America,278083,13.193887,-59.543198,10.43
Belarus,BLR,2015,1082,Europe,9700609,53.709807,27.953389,11.15
Belgium,BEL,2015,869,Europe,11248303,50.503887,4.469936,7.73
Belize,BLZ,2015,69,North America,359871,17.189877,-88.49765,19.17
Benin,BEN,2015,1873,Africa,10932783,9.30769,2.315834,17.13
Bermuda,BMU,2015,7,North America,63144,32.321384,-64.75737,11.09
Bhutan,BTN,2015,67,Asia,743274,27.514162,90.433601,9.01
Bolivia,BOL,2015,1976,South America,11090085,-16.290154,-63.588653,17.82
Bosnia and Herzegovina,BIH,2015,218,Europe,3524324,43.915886,17.679076,6.19
Botswana,BWA,2015,567,Africa,2305171,-22.328474,24.684866,24.60
Brazil,BRA,2015,46729,South America,205188205,-14.235004,-51.92528,22.77
Brunei,BRN,2015,56,Asia,421437,4.535277,114.727669,13.29
Bulgaria,BGR,2015,736,Europe,7309253,42.733883,25.48583,10.07
Burkina Faso,BFA,2015,4777,Africa,18718019,12.238333,-1.561593,25.52
Burundi,BDI,2015,1782,Africa,10727148,-3.373056,29.918886,16.61
Cambodia,KHM,2015,2849,Asia,15417523,12.565679,104.990963,18.48
Cameroon,CMR,2015,6093,Africa,23012646,7.369722,12.354722,26.48
Canada,CAN,2015,2365,North America,35732126,56.130366,-106.346771,6.62
Cape Verde,CPV,2015,43,Africa,552166,16.002082,-24.013197,7.79
Central African Republic,CAF,2015,2949,Africa,4819333,6.611111,20.939444,61.19
Chad,TCD,2015,2357,Africa,14140274,15.454166,18.732207,16.67
Chile,CHL,2015,2314,South America,17870124,-35.675147,-71.542969,12.95
China,CHN,2015,268987,Asia,1393715448,35.86166,104.195397,19.30
Colombia,COL,2015,7557,South America,47119728,4.570868,-74.297333,16.04
Comoros,COM,2015,150,Africa,730216,-11.875001,43.872219,20.54
Cook Islands,COK,2015,4,Oceania,17695,-21.236736,-159.777671,22.61
Costa Rica,CRI,2015,800,North America,4895242,9.748917,-83.753428,16.34
Croatia,HRV,2015,402,Europe,4254815,45.1,15.2,9.45
Cuba,CUB,2015,1094,North America,11339894,21.521757,-77.781167,9.65
Cyprus,CYP,2015,128,Europe,1187280,35.126413,33.429859,10.78
Denmark,DNK,2015,264,Europe,5677796,56.26392,9.501785,4.65
Djibouti,DJI,2015,145,Africa,1006259,11.825138,42.590275,14.41
Dominica,DMA,2015,12,North America,70007,15.414999,-61.370976,17.14
Dominican Republic,DOM,2015,2930,North America,10405832,18.735693,-70.162651,28.16
Ecuador,ECU,2015,4551,South America,16195902,-1.831239,-78.183406,28.10
Egypt,EGY,2015,29193,Africa,97723799,26.820553,30.802498,29.87
El Salvador,SLV,2015,1248,North America,6231066,13.794185,-88.89653,20.03
Equatorial Guinea,GNQ,2015,242,Africa,1346973,1.650801,10.267895,17.97
Eritrea,ERI,2015,1048,Africa,3340006,15.179384,39.782334,31.38
Estonia,EST,2015,85,Europe,1314657,58.595272,25.013607,6.47
Ethiopia,ETH,2015,8664,Africa,102471895,9.145,40.489673,8.46
Fiji,FJI,2015,89,Oceania,917200,-16.578193,179.414413,9.70
Finland,FIN,2015,262,Europe,5479461,61.92411,25.748151,4.78
France,FRA,2015,4205,Europe,63809769,46.227638,2.213749,6.59
Gabon,GAB,2015,507,Africa,2028517,-0.803689,11.609444,24.99
Gambia,GMB,2015,223,Africa,2253133,13.443182,-15.310139,9.90
Georgia,GEO,2015,804,Asia,3771132,42.315407,43.356892,21.32
Germany,DEU,2015,4337,Europe,82073226,51.165691,10.451526,5.28
Ghana,GHA,2015,5620,Africa,28870939,7.946527,-1.023194,19.47
Greece,GRC,2015,1250,Europe,10806641,39.074208,21.824312,11.57
Greenland,GRL,2015,2,North America,55895,71.706936,-42.604303,3.58
Grenada,GRD,2015,10,North America,118980,12.262776,-61.604171,8.40
Guam,GUM,2015,17,Oceania,167978,13.444304,144.793731,10.12
Guatemala,GTM,2015,2565,North America,16001107,15.783471,-90.230759,16.03
Guinea,GIN,2015,2280,Africa,11625998,9.945587,-9.696645,19.61
Guinea-Bissau,GNB,2015,484,Africa,1788919,11.803749,-15.180413,27.06
Guyana,GUY,2015,152,South America,755031,4.860416,-58.93018,20.13
Haiti,HTI,2015,1315,North America,10563757,18.971187,-72.285215,12.45
Honduras,HND,2015,1066,North America,9294505,15.199999,-86.241905,11.47
Hungary,HUN,2015,840,Europe,9844246,47.162494,19.503304,8.53
Iceland,ISL,2015,11,Europe,331060,64.963051,-19.020835,3.32
India,IND,2015,201060,Asia,1322866505,20.593684,78.96288,15.20
Indonesia,IDN,2015,36868,Asia,259091970,-0.789275,113.921327,14.23
Iran,IRN,2015,21850,Asia,81790841,32.427908,53.688046,26.71
Iraq,IRQ,2015,5930,Asia,37757813,33.223191,43.679291,15.71
Ireland,IRL,2015,160,Europe,4665760,53.41291,-8.24389,3.43
Israel,ISR,2015,593,Asia,8007778,31.046051,34.851612,7.41
Italy,ITA,2015,5228,Europe,60232906,41.87194,12.56738,8.68
Jamaica,JAM,2015,173,North America,2794445,18.109581,-77.297508,6.19
Japan,JPN,2015,6898,Asia,127250933,36.204824,138.252924,5.42
Jordan,JOR,2015,1011,Asia,9494246,30.585164,36.238414,10.65
Kazakhstan,KAZ,2015,3197,Asia,17835909,48.019573,66.923684,17.92
Kenya,KEN,2015,4319,Africa,46851488,-0.023559,37.906193,9.22
Kiribati,KIR,2015,21,Oceania,116707,-3.370417,-168.734039,17.99
Kuwait,KWT,2015,523,Asia,3908743,29.31166,47.481766,13.38
Kyrgyzstan,KGZ,2015,1061,Asia,5914980,41.20438,74.766098,17.94
Laos,LAO,2015,1130,Asia,6787419,19.85627,102.495496,16.65
Latvia,LVA,2015,207,Europe,1991955,56.879635,24.603189,10.39
Lebanon,LBN,2015,445,Asia,6398940,33.854721,35.862285,6.95
Lesotho,LSO,2015,933,Africa,2118521,-29.609988,28.233608,44.04
Liberia,LBR,2015,482,Africa,4612329,6.428055,-9.429499,10.45
Libya,LBY,2015,2028,Africa,6192235,26.3351,17.228331,32.75
Lithuania,LTU,2015,325,Europe,2963765,55.169438,23.881275,10.97
Luxembourg,LUX,2015,35,Europe,569408,49.815273,6.129583,6.15
Madagascar,MDG,2015,2749,Africa,24850912,-18.766947,46.869107,11.06
Malawi,MWI,2015,1967,Africa,16938942,-13.254308,34.301525,11.61
Malaysia,MYS,2015,6840,Asia,31068833,4.210484,101.975766,22.02
Maldives,MDV,2015,19,Asia,435582,3.202778,73.22068,4.36
Mali,MLI,2015,2364,Africa,18112907,17.570692,-3.996166,13.05
